,count,mean,std,min,25%,50%,75%,max,median,mode,skewness,kurtosis
Calories,260.0,368.2692307692308,240.26988649145852,0.0,210.0,340.0,500.0,1880.0,340.0,0.0,1.4524981730922621,5.778796313613964
Calories from Fat,260.0,127.09615384615384,127.87591409643727,0.0,20.0,100.0,200.0,1060.0,100.0,0.0,2.145508131232212,10.60560622594372
Total Fat,260.0,14.165384615384616,14.205998034646498,0.0,2.375,11.0,22.25,118.0,11.0,0.0,2.152798897759946,10.682321006650039
Total Fat (% Daily Value),260.0,21.815384615384616,21.885198755367167,0.0,3.75,17.0,35.0,182.0,17.0,0.0,2.1620113834730152,10.756404193061002
Saturated Fat,260.0,6.007692307692308,5.321873206149732,0.0,1.0,5.0,10.0,20.0,5.0,0.0,0.6636847964769622,-0.4264662883638226
Saturated Fat (% Daily Value),260.0,29.965384615384615,26.6392088057706,0.0,4.75,24.0,48.0,102.0,24.0,0.0,0.6852961568061482,-0.3682486377076142
Trans Fat,260.0,0.20384615384615384,0.4291328863592654,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.135819159591727,4.295495089316488
Cholesterol,260.0,54.94230769230769,87.26925747176551,0.0,5.0,35.0,65.0,575.0,35.0,0.0,3.7989073426995628,17.38887360873399
Cholesterol (% Daily Value),260.0,18.392307692307693,29.09165283933288,0.0,2.0,11.0,21.25,192.0,11.0,0.0,3.8041999693589497,17.43375706368384
Sodium,260.0,495.75,577.0263229811335,0.0,107.5,190.0,865.0,3600.0,190.0,180.0,1.544088196229296,2.8743804793591776
Sodium (% Daily Value),260.0,20.676923076923078,24.034953756539704,0.0,4.75,8.0,36.25,150.0,8.0,6.0,1.5459860644675738,2.8838630715059006
Carbohydrates,260.0,47.34615384615385,28.252231685100472,0.0,30.0,44.0,60.0,141.0,44.0,0.0,0.9126993164431502,1.4074473899716278
Carbohydrates (% Daily Value),260.0,15.78076923076923,9.419544260621853,0.0,10.0,15.0,20.0,47.0,15.0,14.0,0.9035994484928277,1.3952351079672543
Dietary Fiber,260.0,1.6307692307692307,1.5677170847244275,0.0,0.0,1.0,3.0,7.0,1.0,1.0,1.173624824904281,1.3236325148045989
Dietary Fiber (% Daily Value),260.0,6.530769230769231,6.307057347049603,0.0,0.0,5.0,10.0,28.0,5.0,0.0,1.1542450907509079,1.206688706063531
Sugars,260.0,29.423076923076923,28.679796713553245,0.0,5.75,17.5,48.0,128.0,17.5,0.0,1.031940275299114,0.5206922528049596
Protein,260.0,13.338461538461539,11.426146163812897,0.0,4.0,12.0,19.0,87.0,12.0,0.0,1.5799237740975067,6.001328843243525
Vitamin A (% Daily Value),260.0,13.426923076923076,24.366380688779113,0.0,2.0,8.0,15.0,170.0,8.0,0.0,4.580330688955045,24.510011025952654
Vitamin C (% Daily Value),260.0,8.534615384615385,26.34554232194889,0.0,0.0,0.0,4.0,240.0,0.0,0.0,5.502230755799999,35.250745457211785
Calcium (% Daily Value),260.0,20.973076923076924,17.01995326165172,0.0,6.0,20.0,30.0,70.0,20.0,0.0,0.5935545655318424,-0.47598883448934126
Iron (% Daily Value),260.0,7.734615384615385,8.72326327960599,0.0,0.0,4.0,15.0,40.0,4.0,0.0,1.1879081147147665,0.9247961439344121
